generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.26 18/04/2025 à 01:10
30;994502951;@I00585@;Agnès;DE BOURGOGNE-COMTE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=agnes&n=de+bourgogne+comte;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 995
- Décédée en 1067, à l'âge de 72 ans";0;
30;994502948;@I00586@;Bernard;DE MERGUEIL;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=bernard&n=de+mergueil;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 985
- Décédé vers 1055, à l'âge d'environ 70 ans";0;
30;994502950;@I00587@;Guillaume 5 le Grand;D' AQUITAINE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+5+le+grand&n=d+aquitaine;2;0;1;0;;;"";"";"";"";"";0;0;"- Né en 969
- Décédé en 1030, à l'âge de 61 ans";0;
30;994502869;@I00588@;Ermengarde;DE MERGUEIL;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=ermengarde&n=de+mergueil;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 1055
- Décédée";0;
29;497250461;@I00589@;Ermengarde;DE NARBONNE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=ermengarde&n=de+narbonne;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née vers 1025
- Décédée après 1093";0;
29;497250460;@I00590@;Guillaume Bernat;DE MONTPELLIER;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+bernat&n=de+montpellier;3;0;1;2;forme2;;"";"Seigneur de Montpellier";"";"";"";0;0;"- Né vers 1020
- Décédé vers 1076, à l'âge d'environ 56 ans
- Seigneur de Montpellier";0;
30;994502868;@I00591@;Raymond 1er;D'ANDUZE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=raymond+1er&n=d+anduze;3;0;1;0;;;"";"Seigneur d'Anduze, Barres et des Portes";"";"";"";0;0;"- Né en 1055
- Décédé en 1109, à l'âge de 54 ans
- Seigneur d'Anduze, Barres et des Portes";0;
29;497251689;@I00592@;Anne;DE KIEV (DE RUSSIE);F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=anne&n=de+kiev+de+russie;2;0;1;0;;4 mai 1051;"Reims, 51454, Marne, Champagne-Ardenne, France,";"";"";"";"";0;0;"- Née en 1024
- Décédée en 1075, à l'âge de 51 ans";0;
29;497250462;@I00593@;Pierre 1er;DE MERGUEIL;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=pierre+1er&n=de+mergueil;2;0;0;2;forme2;;"";"";"";"";"";0;0;"- Né en 1045
- Décédé";0;
29;497250463;@I00594@;Almodis;DE TOULOUSE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=almodis&n=de+toulouse;2;0;0;2;forme2;;"";"";"";"";"";0;0;"- Née vers 1047
- Décédée";0;
31;1989008717;@I00595@;Altrude;DE RAZES;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=altrude&n=de+razes;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 955
- Décédée";0;
